symbol,date,market_cap,price,volume,cum_market_cap,share_market_cap,n_currencies,weekday
BTC,2016-10-29,11226383168,703.977,92993400,12961366764,0.866141925647927,21,7
ETH,2016-10-29,817134132,9.56327,21031200,12961366764,0.06304382453473793,21,7
XRP,2016-10-29,289317877,0.00814267,3941750,12961366764,0.02232155622689237,21,7
LTC,2016-10-29,197140909,4.08971,5581100,12961366764,0.015209885854596438,21,7
DASH,2016-10-29,63147586,9.23069,1217870,12961366764,0.004871985119300186,21,7
XEM,2016-10-29,29997629,0.00333307,108370,12961366764,0.0023143877915188667,21,7
XMR,2016-10-29,64032685,4.84133,11406400,12961366764,0.004940272593616424,21,7
ETC,2016-10-29,79085910,0.926603,2710470,12961366764,0.0061016643877141044,21,7
NEO,2016-10-29,8119949,0.162399,667444,12961366764,6.264732067109648e-4,21,7
LSK,2016-10-29,17828500,0.178285,266538,12961366764,0.0013755108025735672,21,7
STRAT,2016-10-29,5512781,0.0561784,103968,12961366764,4.253240495679565e-4,21,7
USDT,2016-10-29,6951589,1,2051620,12961366764,5.363314785064129e-4,21,7
ZEC,2016-10-29,1383592,4293.37,3994480,12961366764,1.0674738437638428e-4,21,7
WAVES,2016-10-29,35539600,0.355396,258680,12961366764,0.002741963918397148,21,7
STEEM,2016-10-29,25897238,0.13386,170962,12961366764,0.001998032959913548,21,7
MAID,2016-10-29,32786019,0.0724469,716938,12961366764,0.002529518653161075,21,7
BTS,2016-10-29,10358630,0.00402216,175023,12961366764,7.991927231602564e-4,21,7
REP,2016-10-29,46921380,4.26558,795117,12961366764,0.0036200950759547536,21,7
DCR,2016-10-29,2340482,0.78392,33701,12961366764,1.805737035773614e-4,21,7
PIVX,2016-10-29,262432,0.00556066,5703,12961366764,2.0247247437585125e-5,21,7
NXS,2016-10-29,1224676,0.0281718,1493,12961366764,9.448664035968175e-5,21,7
BTC,2016-10-30,11345624252,711.374,133638e3,13149529382,0.8628159930598496,21,1
ETH,2016-10-30,894650465,10.4667,18270900,13149529382,0.06803669082063579,21,1
XRP,2016-10-30,275692773,0.0077592,3497180,13149529382,0.020965980225679227,21,1
LTC,2016-10-30,194077106,4.02498,4344760,13149529382,0.0147592434954871,21,1
DASH,2016-10-30,60651755,8.86312,1544210,13149529382,0.004612465833417916,21,1
XEM,2016-10-30,33946559,0.00377184,52200,13149529382,0.0025815797671412057,21,1
XMR,2016-10-30,70125094,5.29867,5429540,13149529382,0.005332897624153162,21,1
ETC,2016-10-30,79243567,0.928112,1476160,13149529382,0.006026342441462138,21,1
NEO,2016-10-30,9091350,0.181827,720124,13149529382,6.913821579382817e-4,21,1
LSK,2016-10-30,16197500,0.161975,498124,13149529382,0.0012317931333856158,21,1
STRAT,2016-10-30,5082843,0.0517964,135177,13149529382,3.8654181851996563e-4,21,1
USDT,2016-10-30,6951589,1,1431890,13149529382,5.286568665731736e-4,21,1
ZEC,2016-10-30,688986,852.155,1490630,13149529382,5.239624780360067e-5,21,1
WAVES,2016-10-30,35351700,0.353517,249061,13149529382,0.002688438420343156,21,1
STEEM,2016-10-30,25407364,0.129809,44233,13149529382,0.0019321880853606355,21,1
MAID,2016-10-30,33295095,0.0735718,1277400,13149529382,0.0025320370054898443,21,1
BTS,2016-10-30,10639261,0.00413103,136275,13149529382,8.090982339310005e-4,21,1
REP,2016-10-30,49022159,4.45656,438334,13149529382,0.0037280542577519905,21,1
DCR,2016-10-30,2378417,0.794466,93239,13149529382,1.8087468615080206e-4,21,1
PIVX,2016-10-30,375460,0.00794699,17281,13149529382,2.855311312615918e-5,21,1
NXS,2016-10-30,1036087,0.0238152,9505,13149529382,7.879270579966677e-5,21,1
BTC,2016-10-31,11186961801,701.334,95740900,13054538644,0.8569404178937907,21,2
ETH,2016-10-31,944808939,11.0493,17583200,13054538644,0.07237398155271033,21,2
XRP,2016-10-31,286259716,0.0080566,1981990,13054538644,0.021927984113905695,21,2
LTC,2016-10-31,193494098,4.01151,3724330,13054538644,0.014821979027878697,21,2
DASH,2016-10-31,67279696,9.82863,1010620,13054538644,0.005153739847476145,21,2
XEM,2016-10-31,32422409,0.00360249,42589,13054538644,0.0024836120129685065,21,2
XMR,2016-10-31,67062366,5.06501,3724120,13054538644,0.005137091997565349,21,2
ETC,2016-10-31,76857475,0.899829,825137,13054538644,0.0058874141090634775,21,2
NEO,2016-10-31,10547400,0.210948,659143,13054538644,8.079488894728343e-4,21,2
LSK,2016-10-31,17460500,0.174605,330964,13054538644,0.0013375041796689633,21,2
STRAT,2016-10-31,4953798,0.0504807,34226,13054538644,3.7946940409700473e-4,21,2
USDT,2016-10-31,6951589,1,1131550,13054538644,5.325036134612863e-4,21,2
ZEC,2016-10-31,770145,515.966,691877,13054538644,5.8994424927760016e-5,21,2
WAVES,2016-10-31,32454300,0.324543,235615,13054538644,0.0024860549181426896,21,2
STEEM,2016-10-31,26361632,0.13338,43391,13054538644,0.002019346123129068,21,2
MAID,2016-10-31,36297554,0.0802063,340144,13054538644,0.002780454751396575,21,2
BTS,2016-10-31,10751621,0.00417456,76371,13054538644,8.235925675505626e-4,21,2
REP,2016-10-31,49167360,4.46976,282912,13054538644,0.0037663039147383293,21,2
DCR,2016-10-31,2386397,0.795177,14839,13054538644,1.82802093974942e-4,21,2
PIVX,2016-10-31,376947,0.00796988,20725,13054538644,2.8874785258937412e-5,21,2
NXS,2016-10-31,912901,0.0209676,232,13054538644,6.992977882214004e-5,21,2
BTC,2016-11-01,11589751124,726.507,106582e3,13428885365,0.8630463965540002,21,3
ETH,2016-11-01,918170116,10.7339,17488900,13428885365,0.06837277190503442,21,3
XRP,2016-11-01,290977534,0.00818938,2496850,13428885365,0.021668033205375418,21,3
LTC,2016-11-01,197517650,4.09367,4884970,13428885365,0.014708417313233949,21,3
DASH,2016-11-01,62221396,9.08686,1027510,13428885365,0.004633399892009578,21,3
XEM,2016-11-01,33974549,0.00377495,85520,13428885365,0.0025299604603483037,21,3
XMR,2016-11-01,65762201,4.96377,2839400,13428885365,0.004897070695934115,21,3
ETC,2016-11-01,75898399,0.888286,1430960,13428885365,0.005651876305223043,21,3
NEO,2016-11-01,11241800,0.224836,642956,13428885365,8.371357483845794e-4,21,3
LSK,2016-11-01,16518800,0.165188,208178,13428885365,0.0012300946468016857,21,3
STRAT,2016-11-01,5311855,0.0541287,15637,13428885365,0.00039555442284468413,21,3
USDT,2016-11-01,6951588,1,2094050,13428885365,5.176593448416855e-4,21,3
ZEC,2016-11-01,4085684,1702.1,7647870,13428885365,3.042459510934994e-4,21,3
WAVES,2016-11-01,34415400,0.344154,126871,13428885365,0.0025627890226613756,21,3
STEEM,2016-11-01,24238361,0.121666,46846,13428885365,0.0018049421334084045,21,3
MAID,2016-11-01,32604772,0.0720464,367817,13428885365,0.002427958174769928,21,3
BTS,2016-11-01,10490013,0.00407289,101019,13428885365,7.811529188669934e-4,21,3
REP,2016-11-01,45220340,4.11094,546574,13428885365,0.003367393403912641,21,3
DCR,2016-11-01,2239694,0.744323,29300,13428885365,1.6678182433795764e-4,21,3
PIVX,2016-11-01,282878,0.00597453,5245,13428885365,2.1064890518558685e-5,21,3
NXS,2016-11-01,1011211,0.0232077,824,13428885365,7.530118639895025e-5,21,3
BTC,2016-11-02,11580725920,725.873,105075e3,13437923805,0.8617942837040815,21,4
ETH,2016-11-02,941948461,11.0079,16916900,13437923805,0.07009627935600576,21,4
XRP,2016-11-02,287817044,0.00810043,1838570,13437923805,0.02141826729906808,21,4
LTC,2016-11-02,197587390,4.09376,3476230,13437923805,0.01470371412036742,21,4
DASH,2016-11-02,61184760,8.93269,1411980,13437923805,0.004553140863712465,21,4
XEM,2016-11-02,34419149,0.00382435,28993,13437923805,0.002561344259683425,21,4
XMR,2016-11-02,62484836,4.7142,3017970,13437923805,0.004649887654278153,21,4
ETC,2016-11-02,76975560,0.900566,805628,13437923805,0.005728233104831182,21,4
NEO,2016-11-02,10574350,0.211487,297801,13437923805,7.86903553960135e-4,21,4
LSK,2016-11-02,16671900,0.166719,382429,13437923805,0.0012406604057240375,21,4
STRAT,2016-11-02,5390089,0.0549252,69452,13437923805,4.011102517186806e-4,21,4
USDT,2016-11-02,6951588,1,1598860,13437923805,5.17311163605009e-4,21,4
ZEC,2016-11-02,3160976,896.769,3086020,13437923805,2.3522800440525343e-4,21,4
WAVES,2016-11-02,35003800,0.350038,61354,13437923805,0.002604851799128057,21,4
STEEM,2016-11-02,20467376,0.102136,38231,13437923805,0.0015231055256009467,21,4
MAID,2016-11-02,32695101,0.072246,339887,13437923805,0.002433047059534209,21,4
BTS,2016-11-02,10647911,0.0041341,50357,13437923805,7.923776882882839e-4,21,4
REP,2016-11-02,49653120,4.51392,904364,13437923805,0.003694999370477529,21,4
DCR,2016-11-02,2080200,0.689595,9740,13437923805,1.5480069913969868e-4,21,4
PIVX,2016-11-02,436017,0.00919894,8434,13437923805,3.2446753406784924e-5,21,4
NXS,2016-11-02,1048257,0.0240396,1097,13437923805,7.800736298340695e-5,21,4
BTC,2016-11-03,11756459867,736.802,95064500,13609109956,0.8638669174553034,21,5
ETH,2016-11-03,942822624,11.0141,12177e3,13609109956,0.0692787865663711,21,5
XRP,2016-11-03,292189854,0.0082235,1886100,13609109956,0.021470166303651547,21,5
LTC,2016-11-03,186973975,3.87268,5705980,13609109956,0.013738883410047451,21,5
DASH,2016-11-03,62392927,9.10625,1256860,13609109956,0.004584644198020616,21,5
XEM,2016-11-03,33111629,0.00367907,52260,13609109956,0.0024330488259007494,21,5
XMR,2016-11-03,66596572,5.02178,4844800,13609109956,0.004893528835854459,21,5
ETC,2016-11-03,75953349,0.88829,700183,13609109956,0.005581066597710425,21,5
NEO,2016-11-03,9561800,0.191236,235624,13609109956,7.026028910718282e-4,21,5
LSK,2016-11-03,17775500,0.177755,350314,13609109956,0.0013061471365482735,21,5
STRAT,2016-11-03,5111090,0.0520815,31723,13609109956,3.755638698287258e-4,21,5
USDT,2016-11-03,6951588,1,1845940,13609109956,5.108040145516773e-4,21,5
ZEC,2016-11-03,4532290,939.754,3307920,13609109956,3.3303353523143507e-4,21,5
WAVES,2016-11-03,33013300,0.330133,206766,13609109956,0.0024258235921920126,21,5
STEEM,2016-11-03,19482568,0.0966167,62912,13609109956,0.0014315828193753775,21,5
MAID,2016-11-03,33569613,0.0741784,202261,13609109956,0.00246670157773248,21,5
BTS,2016-11-03,10856619,0.00421523,85546,13609109956,7.977464386062604e-4,21,5
REP,2016-11-03,48326630,4.39333,220166,13609109956,0.003551050006668048,21,5
