symbol,date,market_cap,price,volume,cum_market_cap,share_market_cap,n_currencies,weekday
BTC,2016-10-26,10585288822,664.004,83828800,12561254637,0.8426935945411326,21,4
ETH,2016-10-26,990793257,11.6083,15092300,12561254637,0.07887693432163642,21,4
XRP,2016-10-26,316759913,0.00892579,2894060,12561254637,0.025217219310797418,21,4
LTC,2016-10-26,190339845,3.95228,5636640,12561254637,0.015152932609083609,21,4
DASH,2016-10-26,64815547,9.48333,1185070,12561254637,0.005159958051410052,21,4
XEM,2016-10-26,34584749,0.00384275,42140,12561254637,0.0027532877884768256,21,4
XMR,2016-10-26,79865413,6.04804,2073050,12561254637,0.006358076108476551,21,4
ETC,2016-10-26,87709367,1.02877,766672,12561254637,0.006982532361189965,21,4
NEO,2016-10-26,7686150,0.153723,1339310,12561254637,6.118934948870427e-4,21,4
LSK,2016-10-26,19386900,0.193869,342556,12561254637,0.0015433888222355285,21,4
STRAT,2016-10-26,4020930,0.0409772,25032,12561254637,3.2010576301479365e-4,21,4
USDT,2016-10-26,6951589,1,726310,12561254637,5.534151803215292e-4,21,4
WAVES,2016-10-26,32766700,0.327667,517698,12561254637,0.0026085531220331713,21,4
STEEM,2016-10-26,27399309,0.145446,82386,12561254637,0.002181255757628982,21,4
MAID,2016-10-26,40441984,0.0893642,146380,12561254637,0.003219581575941903,21,4
BAT,2016-10-26,253,3.90557e-8,0,12561254637,2.0141300157611e-8,21,4
BTS,2016-10-26,11502079,0.00446622,77580,12561254637,9.156791524725462e-4,21,4
REP,2016-10-26,56909270,5.17357,678424,12561254637,0.004530540272017893,21,4
DCR,2016-10-26,2550704,0.861077,14021,12561254637,2.0306124457398816e-4,21,4
PIVX,2016-10-26,188856,0.0040147,661,12561254637,1.5034803883659221e-5,21,4
NXS,2016-10-26,1293e3,0.0298132,3113,12561254637,1.0293557748534001e-4,21,4
BTC,2016-10-27,10954943246,687.116,107388e3,12926089140,0.8475063979018792,21,5
ETH,2016-10-27,987727084,11.5681,14195200,12926089140,0.07641345137745198,21,5
XRP,2016-10-27,312698647,0.00881135,2862780,12926089140,0.02419128041074301,21,5
LTC,2016-10-27,193269807,4.01184,6177940,12926089140,0.014951916616598546,21,5
DASH,2016-10-27,63034847,9.21994,1523280,12926089140,0.004876559825426053,21,5
XEM,2016-10-27,35201969,0.00391133,45597,12926089140,0.0027233271114514377,21,5
XMR,2016-10-27,82524277,6.24547,1960750,12926089140,0.006384319039285226,21,5
ETC,2016-10-27,86675220,1.01626,1788360,12926089140,0.006705448110502509,21,5
NEO,2016-10-27,6591300,0.131826,451264,12926089140,5.099222145701527e-4,21,5
LSK,2016-10-27,19824200,0.198242,660057,12926089140,0.0015336579985862607,21,5
STRAT,2016-10-27,4394337,0.044782,73413,12926089140,3.399587417668079e-4,21,5
USDT,2016-10-27,6951589,1,832654,12926089140,5.377952236526198e-4,21,5
WAVES,2016-10-27,32821600,0.328216,412287,12926089140,0.0025391748149432925,21,5
STEEM,2016-10-27,26249215,0.13813,103656,12926089140,0.0020307159200048655,21,5
MAID,2016-10-27,39899690,0.0881659,142198,12926089140,0.003086756525338336,21,5
BAT,2016-10-27,524,8.09964e-8,0,12926089140,4.0538170077945166e-8,21,5
BTS,2016-10-27,11360913,0.00441144,107278,12926089140,8.78913403501409e-4,21,5
REP,2016-10-27,57821500,5.2565,582939,12926089140,0.004473240078553257,21,5
DCR,2016-10-27,2583730,0.86957,13120,12926089140,1.9988489728146807e-4,21,5
PIVX,2016-10-27,198061,0.00420581,4433,12926089140,1.5322577297343318e-5,21,5
NXS,2016-10-27,1317384,0.030352,2366,12926089140,1.0191667299611396e-4,21,5
